dataset,model,accuracy,train_kwh,train_carbon,infer_kwh,carbon,train_classes,val_classes
fashion-mnist,transformer,0.8285,0.002745300236686,1.0981200946744285,0.0001664403066055,0.0665761226422257,10,10
fashion-mnist,mlp,0.8435,0.0029935065367245,1.197402614689801,0.000852306000583,0.3409224002332157,10,10
fashion-mnist,mlp_mixer,0.8532,0.0245725992952472,9.829039718098906,0.0013391474029216,0.53565896116866,10,10
