dataset,model,accuracy,train_kwh,train_carbon,infer_kwh,carbon,train_classes,val_classes
mnist,mlp,0.958,0.0012687185749332,0.5074874299732844,0.0001478209413574,0.059128376542992,10,10
mnist,mlp_mixer,0.9594,0.0233720418437335,9.34881673749341,0.0010503844004677,0.4201537601870961,10,10
