dataset,model,accuracy,train_kwh,train_carbon,infer_kwh,carbon,train_classes,val_classes
cifar100,mlp,0.1112,0.0023785542070408,0.9514216828163464,0.0002445908816506,0.0978363526602586,100,100
cifar100,mlp_mixer,0.1875,0.0325866488080892,13.034659523235693,0.001366523816962,0.5466095267848173,100,100
