dataset,model,accuracy,train_kwh,train_carbon,infer_kwh,carbon,train_classes,val_classes
cifar10,transformer,0.3842,0.004009279488781,1.6037117955124376,0.0002736940456469,0.1094776182587941,10,10
cifar10,mlp_mixer,0.5023,0.0310078248885853,12.403129955434135,0.0020018941322336,0.8007576528934637,10,10
